id,tweet_id,content,user_mentions_count,favorite_count,retweet_count,hashtag_id,user_id,created_at,sentiment,sentiment_score,location,latitude,longitude
43,1.57922E+18,les starks #avengersendgame,0,0,0,1,7,37:58.0,neutral,0,Milwaukee,43.0389025,-87.9064736
44,1.57922E+18,#avengersendgame ne vaut pas le infinity war...,0,0,0,1,31,00:58.0,negative,-0.800000012,Riverside,33.9533487,-117.3961564
45,1.57922E+18,ah stan lee...#avengersendgame,0,1,0,1,32,14:09.0,positive,0.200000003,San Francisco,37.7749295,-122.4194155
46,1.57921E+18,rocket #avengersendgame,0,0,0,1,7,45:05.0,positive,0.200000003,Cleveland,41.49932,-81.6943605
47,1.57921E+18,that #redeemteam movie is the hoopers equivalent to the #avengersendgame i'm in here really genuinely smiling like it's happening right now,0,5,0,1,33,21:41.0,positive,0.899999976,Jacksonville,30.3321838,-81.655651
48,1.57921E+18,loki my love i missed you #avengersendgame,0,1,0,1,34,40:12.0,positive,0.899999976,Orlando,28.5383355,-81.3792365
49,1.57921E+18,"that's america's ass"" #avengersendgame""",0,2,0,1,8,37:59.0,negative,-0.600000024,Henderson,36.0395247,-114.9817213
50,1.57921E+18," i love you 3000"" #avengersendgame""",0,1,0,1,35,24:17.0,positive,0.899999976,Oklahoma City,35.4675602,-97.5164276
51,1.57921E+18,nan thor #avengersendgame,0,0,0,1,7,06:07.0,neutral,0,Lincoln,40.8257625,-96.6851982
52,1.57921E+18,rocket #avengersendgame,0,0,0,1,7,47:30.0,positive,0.200000003,Boston,42.3600825,-71.0588801
53,1.57921E+18,thor me fume #avengersendgame,0,0,0,1,7,13:42.0,positive,0.300000012,Louisville/Jefferson County,38.2526647,-85.7584557
54,1.57921E+18,thor #avengersendgame,0,0,0,1,36,39:02.0,positive,0.300000012,Tulsa,36.1539816,-95.992775
55,1.5792E+18,clint #avengersendgame,0,0,0,1,36,02:00.0,positive,0.300000012,Reno,39.5296329,-119.8138027
56,1.5792E+18,#avengersendgame need revoir morgan,0,1,0,1,37,21:54.0,negative,-0.800000012,Greensboro,36.0726354,-79.7919754
57,1.5792E+18,le ragondin #avengersendgame,0,0,0,1,36,28:59.0,neutral,0,Memphis,35.1495343,-90.0489801
58,1.57919E+18,let's go ! #avengersendgame @tf1 @marvelfr,2,2,0,1,38,18:41.0,positive,0.5,Albuquerque,35.0853336,-106.6055534
59,1.57916E+18,sorry but i can't be the only one who sees joe biden when they age chris evans in #avengersendgame,0,1,0,1,39,50:46.0,negative,-0.600000024,San Francisco,37.7749295,-122.4194155
61,1.57845E+18,but thanos was powerful. #avengersendgame,0,0,0,1,41,43:07.0,positive,0.300000012,Oakland,37.8043637,-122.2711137
62,1.57834E+18,"#avatar, #avengersendgame are also@made on large scale and also for theatre experience but it doesn't mean they will not look good in 2d nd tv #adipurush team should notice that nd make good vfx",0,0,0,1,42,05:02.0,negative,-0.400000006,Stockton,37.9577016,-121.2907796
63,1.57817E+18,the #mcu should have stopped after #avengersendgame #marvel,0,0,0,1,43,43:34.0,negative,-0.699999988,Reno,39.5296329,-119.8138027
64,1.57789E+18,like seriously kevin..... you changed the name of atlantis to taloken. i know u like that ur own touch kind off stuffs but bruh that's too much...... you guys literally changed namor's whole origin story... #wakandaforever #blackpanther2 #avengers #marvel #avengersendgame,0,2,0,1,44,06:15.0,negative,-0.300000012,Greensboro,36.0726354,-79.7919754
65,1.57729E+18,"just watched #avengersendgame again and literally my eyes were in tear again. got goosebumps when i saw natasha and tony dying. the marvel has actually set a benchmark where no movie can beat this one. will miss you #ironman,#captainamerica and #blackwidow everytime.",0,0,0,1,45,09:54.0,positive,0.100000001,Lexington-Fayette,38.0405837,-84.5037164
66,1.5772E+18,highest grossing movie in the world 1. #avatar -$2.9b 2. #avengersendgame- $2.79b 3. #titanic - $2.2b 4. #starwarstheforceawakens - $2.06b 5. #avengersinfinitywar - $2.04b 6. #spidermannowayhome - $1.97b,0,1,1,1,46,06:32.0,positive,0.200000003,Fort Wayne,41.079273,-85.1393513
67,1.57717E+18,highest grossing movie in the world 1. #avatar -$2.9b 2. #avengersendgame- $2.79b 3. #titanic - $2.2b 4. #starwarstheforceawakens - $2.06b 5. #avengersinfinitywar - $2.04b 6. #spidermannowayhome - $1.97b,0,4,0,1,47,06:34.0,positive,0.200000003,Newark,40.735657,-74.1723667
68,1.57715E+18,highest grossing movie in the world 1. #avatar -$2.9b 2. #avengersendgame- $2.79b 3. #titanic - $2.2b 4. #starwarstheforceawakens - $2.06b 5. #avengersinfinitywar - $2.04b 6. #spidermannowayhome - $1.97b,0,0,0,1,48,44:02.0,positive,0.200000003,Winston-Salem,36.0998596,-80.244216
69,1.57705E+18,when i tell people the og6 avengers survived the snap of thanos...the 5 seconds of perplexed/concentration sure is worth it. i mean ya welcome!! #avengersinfinitywar #marvelstudios #avengersendgame #facts,0,0,0,1,49,56:59.0,positive,0.5,Houston,29.7604267,-95.3698028
70,1.57705E+18,#avengers4 #avengersendgame #capta this is quite a heavy hand with the union.,0,0,0,1,50,42:06.0,negative,-0.200000003,Toledo,41.6639383,-83.555212
71,1.57699E+18,highest grossing movie in the world 1. #avatar -$2.9b 2. #avengersendgame- $2.79b 3. #titanic - $2.2b 4. #starwarstheforceawakens - $2.06b 5. #avengersinfinitywar - $2.04b 6. #spidermannowayhome - $1.97b,0,0,0,1,51,39:55.0,positive,0.200000003,Stockton,37.9577016,-121.2907796
72,1.57696E+18,highest grossing movie in the world 1. #avatar -$2.9b 2. #avengersendgame- $2.79b 3. #titanic - $2.2b 4. #starwarstheforceawakens - $2.06b 5. #avengersinfinitywar - $2.04b 6. #spidermannowayhome - $1.97b,0,0,0,1,52,31:57.0,positive,0.200000003,Charlotte,35.2270869,-80.8431267
73,1.57693E+18,highest grossing movie in the world 1. #avatar -$2.9b 2. #avengersendgame- $2.79b 3. #titanic - $2.2b 4. #starwarstheforceawakens - $2.06b 5. #avengersinfinitywar - $2.04b 6. #spidermannowayhome - $1.97b,0,0,0,1,53,02:46.0,positive,0.200000003,Long Beach,33.7700504,-118.1937395
74,1.5769E+18,highest grossing movie in the world 1. #avatar -$2.9b 2. #avengersendgame- $2.79b 3. #titanic - $2.2b 4. #starwarstheforceawakens - $2.06b 5. #avengersinfinitywar - $2.04b 6. #spidermannowayhome - $1.97b,0,0,0,1,54,31:31.0,positive,0.200000003,Plano,33.0198431,-96.6988856
75,1.57688E+18,highest grossing movie in the world 1. #avatar -$2.9b 2. #avengersendgame- $2.79b 3. #titanic - $2.2b 4. #starwarstheforceawakens - $2.06b 5. #avengersinfinitywar - $2.04b 6. #spidermannowayhome - $1.97b,0,3958,412,1,55,24:43.0,positive,0.200000003,Chandler,33.3061605,-111.8412502
76,1.57688E+18,highest grossing movie in the world 1. #avatar -$2.9b 2. #avengersendgame- $2.79m 3. #titanic - $2.2b 4. #starwarstheforceawakens - $2.06b 5. #avengersinfinitywar - $2.04b 6. #spidermannowayhome - $1.97m,0,7,2,1,56,23:56.0,positive,0.100000001,San Francisco,37.7749295,-122.4194155
77,1.57677E+18,#avengersendgame is the best movie i've ever seen in my life. the effects were great and the acting was phenomenal. thank you marvel for making this movie!,0,0,0,1,57,49:01.0,positive,0.899999976,Lubbock,33.5778631,-101.8551665
78,1.57658E+18,you just can't cry during the end of #endgame #avengersendgame. there's never going to be a hero like tony stark. i want no tony variants in #avengerssecretwars,0,0,0,1,58,01:34.0,negative,-0.100000001,Cleveland,41.49932,-81.6943605
79,1.57644E+18,"girls in pop culture fandoms are so weird. they'll say shit like omg #jefferydahmer never got to see #avengersendgame! he would've loved steve and bucky!!"" like what??!""",0,1,0,1,59,34:24.0,negative,-0.400000006,San Antonio,29.4241219,-98.4936282
80,1.57613E+18,#hgotys since year : 2015 2015 : #bahubali1 2016 : #dangal 2017 : #bahubali2 2018 : #2point0 2019 : #avengersendgame 2020 : #tanhaji 2021 : #pushpa 2022 : #kgfchapter2 only 2 #hgotys from #bollywood.,0,4,1,1,60,17:16.0,neutral,0,Santa Ana,33.7455731,-117.8678338
81,1.57589E+18,#thewomanking movie is the best movie i have seen since #avengersendgame so beautiful. #gbojito,0,2,1,1,61,01:00.0,positive,0.600000024,Arlington,32.735687,-97.1080656
82,1.57556E+18,happy #ponniyanselvan1 day to thamizh people all over the world. let's celebrate the chozha dynasty as indians & fall in love with kalki's vision. thanks for making it as a film mani sir previously the films for which i was this much excited are #enthiran & #avengersendgame,0,9,3,1,62,39:53.0,positive,0.800000012,Virginia Beach,36.8529263,-75.977985
83,1.57542E+18,i'm so excited to watch #ponniyinselvan in imax. last time i was so excited for a movie was #avengersendgame,0,1,0,1,63,17:54.0,positive,0.300000012,Arlington,32.735687,-97.1080656
84,1.57525E+18,#avengersendgame is still a classic,0,1,0,1,64,34:39.0,positive,0.699999988,Aurora,39.7294319,-104.8319195
85,1.5751E+18,gamora could be #shehulk #avengers #avengersendgame #marvel #marvelstudios #marvelsavengers #guardiansofthegalaxyvol3 #justiceleague #green,0,1,0,1,65,09:27.0,positive,0.300000012,Anaheim,33.8352932,-117.9145036
86,1.57495E+18,"even after watching #avengersendgame again, i still never got what it was about that scene with all the female heroes protecting peter that got people so dang riled up about it.",0,0,0,1,66,29:25.0,negative,-0.699999988,Tucson,32.2217429,-110.926479
87,1.57494E+18,the score. the musical accompaniments. all of it. every. time #avengersendgame,0,0,0,1,67,29:51.0,neutral,0,Corpus Christi,27.8005828,-97.396381
88,1.57487E+18,you thought #avengersendgame had the biggest crossover in existence! finally @realhughjackman is gearing up as wolverine with @vancityreynolds in #deadpool3 !!! im fucking exited!!!!,2,0,0,1,68,07:20.0,positive,0.400000006,Laredo,27.5305671,-99.4803241
89,1.57462E+18,the saddest part of #avengersendgame is that stark never did get that quick slice...,0,0,0,1,69,32:44.0,negative,-0.699999988,Atlanta,33.7489954,-84.3879824
90,1.57458E+18,watching #avengersendgame on tnt,0,0,0,1,70,34:52.0,positive,0.100000001,Colorado Springs,38.8338816,-104.8213634
91,1.57456E+18,i didn't need to see pics from tony's deah in #avengersendgame tonight.,0,0,0,1,71,00:40.0,negative,-0.200000003,Columbus,39.9611755,-82.9987942
92,1.57456E+18,how the hell barton isn't the one to die in #avengersendgame continues to baffle me.,0,0,0,1,72,06:46.0,negative,-0.899999976,Washington,38.9071923,-77.0368707
93,1.5744E+18,good morning to everyone except those who believe that being a @marvelstudios nerd is childish. #goodmorning #goodmorningfriends #avengers #thor #ironman #hulk #captainamerica #blackpanther2 #usa #usmle #psychtwitter #ecfmg #nrmp #medtwitter #marvelcomics #avengersendgame,1,12,3,1,73,32:52.0,negative,-0.300000012,Anchorage,61.2180556,-149.9002778
94,1.57423E+18,"instead of releasing sequels to #avatar. they should release the first movie again after every 5 years or whenever a movie becomes highest grossing movie, just like #avengersendgame did. #avatarthewayofwater #avatar ...... infinity....",0,2,0,1,74,57:20.0,neutral,0,Washington,38.9071923,-77.0368707
95,1.57415E+18,"everytime i rewatch #avengersendgame final battle scene, i literally start balling. damn that's some good cinema.",0,0,0,1,75,40:08.0,positive,0.400000006,Omaha,41.2523634,-95.9979883
96,1.57413E+18,"#avengersendgame question - besides rdj being to expensive why tf didnt dr strange pick up the time stone and save tony stark? like wtf, he had all the stones plus captain marvel there too she could of handle another snap. it hasn't been the same without rdj @marvelstudios",1,0,0,1,76,43:19.0,negative,-0.5,San Francisco,37.7749295,-122.4194155
97,1.57409E+18,box office records that #avatar2 should be chasing: domestic: lifetime- #starwars7 $936.6m opening day- #avengersendgame $157.4m opening weekend- #avengersendgame $357.1m overseas: lifetime - #avatar $2.1 billion* ww: lifetime- #avatar $2.87 billion* #jamescameron,0,18,1,1,77,52:45.0,neutral,0,Tucson,32.2217429,-110.926479
98,1.57369E+18,"#shehulkattorneyatlaw is literally a big boring show. no constant story line, poor cgi and poor acting. #marvelstudios is really doing poor after #avengersendgame specially their series' are way too poor...",0,0,0,1,78,32:28.0,negative,-0.800000012,Chula Vista,32.6400541,-117.0841955
99,1.57325E+18,"bigger than #avengersendgame, #baahubali, #kgf and #war - #brahmastra third friday's morning show open to occupancy of 90%",0,19,1,1,79,52:54.0,neutral,0,Nashville-Davidson,36.1626638,-86.7816016
100,1.57304E+18,there are 12 am shows for #brahmastra now which means round the clock shows. this last happened during the opening weekend of #avengersendgame in #india and #astraverse is doing this on the 15th day. #nationalcinemaday2022,0,565,84,1,80,59:18.0,neutral,0,Tampa,27.950575,-82.4571776
101,1.573E+18,#avengersinfinitywar and #avengersendgame movies of the decade,0,0,0,1,81,10:53.0,positive,0.200000003,Cleveland,41.49932,-81.6943605
102,1.57282E+18,did you see #avengersendgame only once in theaters?,0,0,0,1,71,27:57.0,negative,-0.200000003,Chula Vista,32.6400541,-117.0841955
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
