group,variable,value
name,170,4EVERYOUNG12_34
user_id,170,68789374
followers,170,659
friends,170,722
verified,170,0
created_at,170,2009-08-25 19:50:37.000000
statuses,170,63722
id,171,171
name,171,20pratyush
user_id,171,897880239346302976
followers,171,58
friends,171,194
verified,171,0
created_at,171,2017-08-16 17:58:25.000000
statuses,171,877
id,172,172
name,172,1whoswho
user_id,172,1585781670
followers,172,147
friends,172,746
verified,172,0
created_at,172,2013-07-11 13:00:17.000000
statuses,172,12714
id,173,173
name,173,021winston
user_id,173,1050801201221054464
followers,173,1124
friends,173,134
verified,173,0
created_at,173,2018-10-12 17:31:44.000000
statuses,173,539
id,174,174
name,174,ShayedSays
user_id,174,185333347
followers,174,2600
friends,174,1027
verified,174,0
created_at,174,2010-08-31 19:00:02.000000
statuses,174,13028
id,175,175
name,175,Michael44390149
user_id,175,1071404699910328323
followers,175,565
friends,175,1895
verified,175,0
created_at,175,2018-12-08 14:02:40.000000
statuses,175,8419
id,176,176
name,176,RAJEEV26011
user_id,176,1326185103999918081
followers,176,18
friends,176,56
verified,176,0
created_at,176,2020-11-10 15:29:39.000000
statuses,176,813
id,177,177
name,177,dwarfcoach
user_id,177,70908851
followers,177,252
friends,177,301
verified,177,0
created_at,177,2009-09-02 07:37:37.000000
statuses,177,15550
id,178,178
name,178,NYC_Aggie
user_id,178,2811489781
followers,178,86
friends,178,639
verified,178,0
created_at,178,2014-09-15 14:54:12.000000
statuses,178,562
id,179,179
name,179,Ashishcrick
user_id,179,1334455051322966017
followers,179,24
friends,179,63
verified,179,0
created_at,179,2020-12-03 11:11:21.000000
statuses,179,1252
id,180,180
name,180,nmandjiny13
user_id,180,1163033283078316033
followers,180,135
friends,180,319
verified,180,0
created_at,180,2019-08-18 10:22:08.000000
statuses,180,12315
id,181,181
name,181,SallyMed
user_id,181,57887024
followers,181,1453
friends,181,66
verified,181,0
created_at,181,2009-07-18 08:10:49.000000
statuses,181,32925
id,182,182
name,182,Dantromp_
user_id,182,2507994280
followers,182,895
friends,182,5000
verified,182,0
created_at,182,2014-04-25 09:07:30.000000
statuses,182,90364
id,183,183
name,183,The__Rewatcher
user_id,183,835664623084896256
followers,183,13
friends,183,184
verified,183,0
created_at,183,2017-02-26 01:35:46.000000
statuses,183,751
id,184,184
name,184,meta_hollywood
user_id,184,1456332267820032000
followers,184,21807
friends,184,11
verified,184,0
created_at,184,2021-11-04 18:47:29.000000
statuses,184,1339
id,185,185
name,185,WiImerarturo
user_id,185,68201219
followers,185,463
friends,185,641
verified,185,0
created_at,185,2009-08-23 18:17:17.000000
statuses,185,12419
id,186,186
name,186,pennypyro
user_id,186,36118898
followers,186,990
friends,186,981
verified,186,0
created_at,186,2009-04-28 17:05:37.000000
statuses,186,227017
id,187,187
name,187,Kenozoic
user_id,187,179743476
followers,187,219
friends,187,66
verified,187,0
created_at,187,2010-08-18 01:02:05.000000
statuses,187,4025
id,188,188
name,188,hayorqunleh
user_id,188,1010513729136586753
followers,188,113
friends,188,392
verified,188,0
created_at,188,2018-06-23 13:23:42.000000
statuses,188,1780
id,189,189
name,189,hopesfxngs
user_id,189,1344398829043535874
followers,189,21
friends,189,96
verified,189,0
created_at,189,2020-12-30 21:44:27.000000
statuses,189,1156
id,190,190
name,190,Lilelyy285
user_id,190,1482645014501019648
followers,190,9
friends,190,53
verified,190,0
created_at,190,2022-01-16 09:25:13.000000
statuses,190,490
id,191,191
name,191,Movielover455
user_id,191,1266397935039897602
followers,191,7
friends,191,322
verified,191,0
created_at,191,2020-05-29 15:56:19.000000
statuses,191,5330
id,192,192
name,192,TylorHyde
user_id,192,532833368
followers,192,163
friends,192,214
verified,192,0
created_at,192,2012-03-22 04:48:47.000000
statuses,192,1454
id,193,193
name,193,yourtechboi
user_id,193,1271054910700699648
followers,193,35
friends,193,94
verified,193,0
created_at,193,2020-06-11 12:21:33.000000
statuses,193,190
id,194,194
name,194,CeeAnnie82
user_id,194,1037474912544464897
followers,194,11
friends,194,33
verified,194,0
created_at,194,2018-09-05 22:57:49.000000
statuses,194,431
id,195,195
name,195,EliOlabode3
user_id,195,467996141
followers,195,285
friends,195,240
verified,195,0
created_at,195,2012-01-19 02:17:40.000000
statuses,195,23091
id,196,196
name,196,IamNo_33
user_id,196,311965400
followers,196,435
friends,196,828
verified,196,0
created_at,196,2011-06-06 11:06:51.000000
statuses,196,77678
id,197,197
name,197,treedoesstandup
user_id,197,911497982
followers,197,603
friends,197,136
verified,197,0
created_at,197,2012-10-29 01:32:54.000000
statuses,197,29771
id,198,198
name,198,Efreet69
user_id,198,5736542
followers,198,365
friends,198,309
verified,198,0
created_at,198,2007-05-03 10:33:09.000000
statuses,198,125503
id,199,199
name,199,FoxMacloud
user_id,199,68170959
followers,199,278
friends,199,414
verified,199,0
created_at,199,2009-08-23 15:50:17.000000
statuses,199,9794
id,200,200
name,200,teng_semb_fame
user_id,200,1540765049446203394
followers,200,3
friends,200,26
verified,200,0
created_at,200,2022-06-25 18:33:55.000000
statuses,200,259
id,201,201
name,201,vpiderman
user_id,201,1177585650
followers,201,261
friends,201,215
verified,201,0
created_at,201,2013-02-14 03:58:23.000000
statuses,201,9793
id,202,202
name,202,01Carol01
user_id,202,17178863
followers,202,415
friends,202,2187
verified,202,0
created_at,202,2008-11-05 02:57:48.000000
statuses,202,10972
id,203,203
name,203,HippieRonin1620
user_id,203,41895416
followers,203,398
friends,203,1309
verified,203,0
created_at,203,2009-05-22 20:36:57.000000
statuses,203,7194
id,204,204
name,204,ssikymkcus
user_id,204,62109927
followers,204,742
friends,204,985
verified,204,0
created_at,204,2009-08-01 20:20:07.000000
statuses,204,63124
id,205,205
name,205,abbasiam79
user_id,205,461379711
followers,205,192
friends,205,487
verified,205,0
created_at,205,2012-01-11 18:56:11.000000
statuses,205,8373
id,206,206
name,206,irinamllr_
user_id,206,1497923133076127751
followers,206,2
friends,206,23
verified,206,0
created_at,206,2022-02-27 13:14:51.000000
statuses,206,44
id,207,207
name,207,mhaithaca
user_id,207,7610582
followers,207,3725
friends,207,4933
verified,207,0
created_at,207,2007-07-20 14:43:47.000000
statuses,207,88011
id,208,208
name,208,Christopholus22
user_id,208,243016688
followers,208,179
friends,208,829
verified,208,0
created_at,208,2011-01-26 03:15:20.000000
statuses,208,21898
id,209,209
name,209,Maverick_078
user_id,209,1497466848459489280
followers,209,6
friends,209,169
verified,209,0
created_at,209,2022-02-26 07:01:58.000000
statuses,209,152
id,210,210
name,210,DanTresOmi
user_id,210,138619586
followers,210,4575
friends,210,2644
verified,210,0
created_at,210,2010-04-30 02:19:49.000000
statuses,210,586975
id,211,211
name,211,Meti_Major
user_id,211,985187990891741184
followers,211,314
friends,211,352
verified,211,0
created_at,211,2018-04-14 16:08:15.000000
statuses,211,3716
id,212,212
name,212,simonfromland
user_id,212,951040826343346176
followers,212,44
friends,212,37
verified,212,0
created_at,212,2018-01-10 10:39:37.000000
statuses,212,20
id,213,213
name,213,JoshErenberg
user_id,213,1850324184
followers,213,1661
friends,213,1948
verified,213,1
created_at,213,2013-09-10 04:36:18.000000
statuses,213,21096
id,214,214
name,214,thenickfanclub
user_id,214,1001093201330163713
followers,214,813
friends,214,2732
verified,214,0
created_at,214,2018-05-28 13:29:53.000000
statuses,214,160077
id,215,215
name,215,gerrellk43
user_id,215,154069805
followers,215,255
friends,215,874
verified,215,0
created_at,215,2010-06-10 08:30:21.000000
statuses,215,3244
id,216,216
name,216,JesseRose21
user_id,216,158613482
followers,216,362
friends,216,1122
verified,216,0
created_at,216,2010-06-23 04:21:26.000000
statuses,216,1699
id,217,217
name,217,1015z
user_id,217,299740389
followers,217,1085
friends,217,118
verified,217,0
created_at,217,2011-05-16 16:15:24.000000
statuses,217,15655
id,218,218
name,218,livininabikini
user_id,218,848803778098855936
followers,218,721
friends,218,658
verified,218,0
created_at,218,2017-04-03 07:46:05.000000
statuses,218,11656
id,219,219
name,219,amitkarn99
user_id,219,439201707
followers,219,3336
friends,219,4573
verified,219,1
created_at,219,2011-12-17 13:51:03.000000
statuses,219,7839
id,220,220
name,220,rizwankibaatein
user_id,220,1535519593451896833
followers,220,5
friends,220,138
verified,220,0
created_at,220,2022-06-11 07:09:44.000000
statuses,220,46
id,221,221
name,221,castiglionecosp
user_id,221,752732480541634560
followers,221,163
friends,221,1748
verified,221,0
created_at,221,2016-07-12 05:13:03.000000
statuses,221,4353
id,222,222
name,222,RealWLDFRE
user_id,222,3182221356
followers,222,680
friends,222,3736
verified,222,0
created_at,222,2015-05-02 01:26:27.000000
statuses,222,146275
id,223,223
name,223,Kelseyvv
user_id,223,121563724
followers,223,316
friends,223,376
verified,223,0
created_at,223,2010-03-09 22:21:23.000000
statuses,223,3402
id,224,224
name,224,Boogie10Bear
user_id,224,1506040095811379200
followers,224,88
friends,224,229
verified,224,0
created_at,224,2022-03-21 22:48:49.000000
statuses,224,1908
id,225,225
name,225,erik_whitfield7
user_id,225,1473305009450373124
followers,225,2
friends,225,34
verified,225,0
created_at,225,2021-12-21 14:51:36.000000
statuses,225,39
id,226,226
name,226,VijayShanka6
user_id,226,349068084
followers,226,32
friends,226,146
verified,226,0
created_at,226,2011-08-05 13:57:29.000000
statuses,226,1166
id,227,227
name,227,derkrautfresser
user_id,227,1310908419000463360
followers,227,759
friends,227,1546
verified,227,0
created_at,227,2020-09-29 11:45:05.000000
statuses,227,5029
id,228,228
name,228,hintsofsuSPENce
user_id,228,800417874384863232
followers,228,58
friends,228,298
verified,228,0
created_at,228,2016-11-20 19:17:47.000000
statuses,228,4631
id,229,229
name,229,_snowflakk
user_id,229,2346231680
followers,229,274
friends,229,377
verified,229,0
created_at,229,2014-02-16 04:32:00.000000
statuses,229,3300
id,230,230
name,230,_Vedant05
user_id,230,1296080160316223488
followers,230,1215
friends,230,930
verified,230,0
created_at,230,2020-08-19 13:42:55.000000
statuses,230,12772
id,231,231
name,231,Bookiew543
user_id,231,46135886
followers,231,175
friends,231,203
verified,231,0
created_at,231,2009-06-10 15:20:50.000000
statuses,231,19747
id,232,232
name,232,Odillsonm
user_id,232,908790821960511488
followers,232,623
friends,232,297
verified,232,0
created_at,232,2017-09-15 20:33:11.000000
statuses,232,26920
id,233,233
name,233,NRollyKN
user_id,233,1140461204
followers,233,44
friends,233,118
verified,233,0
created_at,233,2013-02-01 18:51:51.000000
statuses,233,299
id,234,234
name,234,PHENOMCAWS
user_id,234,3429831761
followers,234,6767
friends,234,209
verified,234,0
created_at,234,2015-08-18 13:01:24.000000
statuses,234,7145
id,235,235
name,235,TeddyKGB
user_id,235,1227032316
followers,235,176
friends,235,755
verified,235,0
created_at,235,2013-02-28 08:30:32.000000
statuses,235,32175
id,236,236
name,236,TheBoldRj
user_id,236,18910297
followers,236,346
friends,236,562
verified,236,0
created_at,236,2009-01-12 18:47:58.000000
statuses,236,9179
id,237,237
name,237,Sanchitvohra4
user_id,237,1268759583633227777
followers,237,3
friends,237,82
verified,237,0
created_at,237,2020-06-05 04:20:45.000000
statuses,237,46
id,238,238
name,238,FilmoTimes
user_id,238,1479843880044404736
followers,238,99
friends,238,1
verified,238,0
created_at,238,2022-01-08 15:54:25.000000
statuses,238,916
id,239,239
name,239,thatthoughtthat
user_id,239,1489349012633305092
followers,239,0
friends,239,23
verified,239,0
created_at,239,2022-02-03 21:25:07.000000
statuses,239,7
id,240,240
name,240,Rivernews736
user_id,240,1501774441478557698
followers,240,309
friends,240,72
verified,240,0
created_at,240,2022-03-10 04:18:35.000000
statuses,240,961
id,241,241
name,241,ankitkante
user_id,241,3167605645
followers,241,10
friends,241,25
verified,241,0
created_at,241,2015-04-22 15:04:28.000000
statuses,241,98
id,242,242
name,242,dhawalpj
user_id,242,338843562
followers,242,172
friends,242,365
verified,242,0
created_at,242,2011-07-20 05:22:35.000000
statuses,242,247
id,243,243
name,243,TamilMurugan8
user_id,243,1536984703504625664
followers,243,37
friends,243,840
verified,243,0
created_at,243,2022-06-15 08:11:57.000000
statuses,243,3275
id,244,244
name,244,glamrockfrankie
user_id,244,1324839252383981568
followers,244,14
friends,244,83
verified,244,0
created_at,244,2020-11-06 22:21:20.000000
statuses,244,4858
